001,Quận Ba Đình,01,Thành phố Hà Nội
002,Quận Hoàn Kiếm,01,Thành phố Hà Nội
003,Quận Tây Hồ,01,Thành phố Hà Nội
004,Quận Long Biên,01,Thành phố Hà Nội
005,Quận Cầu Giấy,01,Thành phố Hà Nội
006,Quận Đống Đa,01,Thành phố Hà Nội
007,Quận Hai Bà Trưng,01,Thành phố Hà Nội
008,Quận Hoàng Mai,01,Thành phố Hà Nội
009,Quận Thanh Xuân,01,Thành phố Hà Nội
016,Huyện Sóc Sơn,01,Thành phố Hà Nội
017,Huyện Đông Anh,01,Thành phố Hà Nội
018,Huyện Gia Lâm,01,Thành phố Hà Nội
019,Quận Nam Từ Liêm,01,Thành phố Hà Nội
020,Huyện Thanh Trì,01,Thành phố Hà Nội
021,Quận Bắc Từ Liêm,01,Thành phố Hà Nội
250,Huyện Mê Linh,01,Thành phố Hà Nội
268,Quận Hà Đông,01,Thành phố Hà Nội
269,Thị xã Sơn Tây,01,Thành phố Hà Nội
271,Huyện Ba Vì,01,Thành phố Hà Nội
272,Huyện Phúc Thọ,01,Thành phố Hà Nội
273,Huyện Đan Phượng,01,Thành phố Hà Nội
274,Huyện Hoài Đức,01,Thành phố Hà Nội
275,Huyện Quốc Oai,01,Thành phố Hà Nội
276,Huyện Thạch Thất,01,Thành phố Hà Nội
277,Huyện Chương Mỹ,01,Thành phố Hà Nội
278,Huyện Thanh Oai,01,Thành phố Hà Nội
279,Huyện Thường Tín,01,Thành phố Hà Nội
280,Huyện Phú Xuyên,01,Thành phố Hà Nội
281,Huyện Ứng Hòa,01,Thành phố Hà Nội
282,Huyện Mỹ Đức,01,Thành phố Hà Nội
024,Thành phố Hà Giang,02,Tỉnh Hà Giang
026,Huyện Đồng Văn,02,Tỉnh Hà Giang
027,Huyện Mèo Vạc,02,Tỉnh Hà Giang
028,Huyện Yên Minh,02,Tỉnh Hà Giang
029,Huyện Quản Bạ,02,Tỉnh Hà Giang
030,Huyện Vị Xuyên,02,Tỉnh Hà Giang
031,Huyện Bắc Mê,02,Tỉnh Hà Giang
032,Huyện Hoàng Su Phì,02,Tỉnh Hà Giang
033,Huyện Xín Mần,02,Tỉnh Hà Giang
034,Huyện Bắc Quang,02,Tỉnh Hà Giang
035,Huyện Quang Bình,02,Tỉnh Hà Giang
040,Thành phố Cao Bằng,04,Tỉnh Cao Bằng
042,Huyện Bảo Lâm,04,Tỉnh Cao Bằng
043,Huyện Bảo Lạc,04,Tỉnh Cao Bằng
045,Huyện Hà Quảng,04,Tỉnh Cao Bằng
047,Huyện Trùng Khánh,04,Tỉnh Cao Bằng
048,Huyện Hạ Lang,04,Tỉnh Cao Bằng
049,Huyện Quảng Hòa,04,Tỉnh Cao Bằng
051,Huyện Hoà An,04,Tỉnh Cao Bằng
052,Huyện Nguyên Bình,04,Tỉnh Cao Bằng
053,Huyện Thạch An,04,Tỉnh Cao Bằng
058,Thành Phố Bắc Kạn,06,Tỉnh Bắc Kạn
060,Huyện Pác Nặm,06,Tỉnh Bắc Kạn
061,Huyện Ba Bể,06,Tỉnh Bắc Kạn
062,Huyện Ngân Sơn,06,Tỉnh Bắc Kạn
063,Huyện Bạch Thông,06,Tỉnh Bắc Kạn
064,Huyện Chợ Đồn,06,Tỉnh Bắc Kạn
065,Huyện Chợ Mới,06,Tỉnh Bắc Kạn
066,Huyện Na Rì,06,Tỉnh Bắc Kạn
070,Thành phố Tuyên Quang,08,Tỉnh Tuyên Quang
071,Huyện Lâm Bình,08,Tỉnh Tuyên Quang
072,Huyện Na Hang,08,Tỉnh Tuyên Quang
073,Huyện Chiêm Hóa,08,Tỉnh Tuyên Quang
074,Huyện Hàm Yên,08,Tỉnh Tuyên Quang
075,Huyện Yên Sơn,08,Tỉnh Tuyên Quang
076,Huyện Sơn Dương,08,Tỉnh Tuyên Quang
080,Thành phố Lào Cai,10,Tỉnh Lào Cai
082,Huyện Bát Xát,10,Tỉnh Lào Cai
083,Huyện Mường Khương,10,Tỉnh Lào Cai
084,Huyện Si Ma Cai,10,Tỉnh Lào Cai
085,Huyện Bắc Hà,10,Tỉnh Lào Cai
086,Huyện Bảo Thắng,10,Tỉnh Lào Cai
087,Huyện Bảo Yên,10,Tỉnh Lào Cai
088,Thị xã Sa Pa,10,Tỉnh Lào Cai
089,Huyện Văn Bàn,10,Tỉnh Lào Cai
094,Thành phố Điện Biên Phủ,11,Tỉnh Điện Biên
095,Thị Xã Mường Lay,11,Tỉnh Điện Biên
096,Huyện Mường Nhé,11,Tỉnh Điện Biên
097,Huyện Mường Chà,11,Tỉnh Điện Biên
098,Huyện Tủa Chùa,11,Tỉnh Điện Biên
099,Huyện Tuần Giáo,11,Tỉnh Điện Biên
100,Huyện Điện Biên,11,Tỉnh Điện Biên
101,Huyện Điện Biên Đông,11,Tỉnh Điện Biên
102,Huyện Mường Ảng,11,Tỉnh Điện Biên
103,Huyện Nậm Pồ,11,Tỉnh Điện Biên
105,Thành phố Lai Châu,12,Tỉnh Lai Châu
106,Huyện Tam Đường,12,Tỉnh Lai Châu
107,Huyện Mường Tè,12,Tỉnh Lai Châu
108,Huyện Sìn Hồ,12,Tỉnh Lai Châu
109,Huyện Phong Thổ,12,Tỉnh Lai Châu
110,Huyện Than Uyên,12,Tỉnh Lai Châu
111,Huyện Tân Uyên,12,Tỉnh Lai Châu
112,Huyện Nậm Nhùn,12,Tỉnh Lai Châu
116,Thành phố Sơn La,14,Tỉnh Sơn La
118,Huyện Quỳnh Nhai,14,Tỉnh Sơn La
119,Huyện Thuận Châu,14,Tỉnh Sơn La
120,Huyện Mường La,14,Tỉnh Sơn La
121,Huyện Bắc Yên,14,Tỉnh Sơn La
122,Huyện Phù Yên,14,Tỉnh Sơn La
123,Huyện Mộc Châu,14,Tỉnh Sơn La
124,Huyện Yên Châu,14,Tỉnh Sơn La
125,Huyện Mai Sơn,14,Tỉnh Sơn La
126,Huyện Sông Mã,14,Tỉnh Sơn La
127,Huyện Sốp Cộp,14,Tỉnh Sơn La
128,Huyện Vân Hồ,14,Tỉnh Sơn La
132,Thành phố Yên Bái,15,Tỉnh Yên Bái
133,Thị xã Nghĩa Lộ,15,Tỉnh Yên Bái
135,Huyện Lục Yên,15,Tỉnh Yên Bái
136,Huyện Văn Yên,15,Tỉnh Yên Bái
137,Huyện Mù Căng Chải,15,Tỉnh Yên Bái
138,Huyện Trấn Yên,15,Tỉnh Yên Bái
139,Huyện Trạm Tấu,15,Tỉnh Yên Bái
140,Huyện Văn Chấn,15,Tỉnh Yên Bái
141,Huyện Yên Bình,15,Tỉnh Yên Bái
148,Thành phố Hòa Bình,17,Tỉnh Hoà Bình
150,Huyện Đà Bắc,17,Tỉnh Hoà Bình
152,Huyện Lương Sơn,17,Tỉnh Hoà Bình
153,Huyện Kim Bôi,17,Tỉnh Hoà Bình
154,Huyện Cao Phong,17,Tỉnh Hoà Bình
155,Huyện Tân Lạc,17,Tỉnh Hoà Bình
156,Huyện Mai Châu,17,Tỉnh Hoà Bình
157,Huyện Lạc Sơn,17,Tỉnh Hoà Bình
